address,city,state,postalCode,price,size_sqft,num_rooms,year_built
1229 CORAL CAY Bnd,Wake Forest,NC,27587,549990.0,3164.0,5,0
1848 S 16TH ST,Philadelphia,PA,19145,299000.0,2430.0,5,1920
1132 Dartford Grn Pl,Wake Forest,NC,27587,639990.0,3133.0,4,0
702 Westtown Cir,West Chester,PA,19382,370000.0,1437.0,2,1981
1623 Scoville Ave,Berwyn,IL,60402,344140.8,1055.0,5,1926
1627 Scoville Ave,Berwyn,IL,60402-1907,273626.0,1719.0,4,1926
7 Saint Andrews Dr,Fleetwood,PA,19522,588000.0,4836.0,5,2004
8 Ireland Brk Dr,North Brunswick,NJ,08902,1375000.0,3380.0,5,1994
4448 West Us Hwy 6,Ely,NV,89317,739900.0,3556.0,4,2017
910 Prateria Ct,Avon,MN,56310,65000.0,0.0,0,0
45 Sunset Bay Dr,Belleair,FL,33756,148800.0,2473.0,3,1961
1609 East Ave,Berwyn,IL,60402,260000.0,1364.0,2,1912
1617 EAST AVE,Berwyn,IL,60402,442000.0,2086.0,4,1908
85 Irvin Ln,Orrtanna,PA,17353,48500.0,1208.0,3,1950
7327 Thouron Ave,Philadelphia,PA,19138,285000.0,1450.0,3,1925
1739 MCKEAN ST,Philadelphia,PA,19145,338500.0,2272.0,0,1920
53070 Avenida Vallejo,La Quinta,CA,92253,579000.0,1761.0,3,1989
28 Sage Hl Ct,Danville,CA,94526,0.0,1862.0,3,1988
1533 Crescent Townes Way,Raleigh,NC,27604,329990.0,1889.0,3,2025
9193 Wyattwood Rd,Mechanicsville,VA,23116,475000.0,2364.0,4,1997
5712 Mineral Hl Rd,Sykesville,MD,21784,613500.0,2728.0,3,1987
570 Gutshall Rd,Boiling Springs,PA,17007,240000.0,952.0,2,1964
1702 MIFFLIN ST,Philadelphia,PA,19145,387000.0,1574.0,3,1920
3809 FALCON CT NW,Wilson,NC,27896,263990.0,1360.0,3,2025
6709 Brick House Ave,Las Vegas,NV,89122,434900.0,1847.0,4,2006
27190 Columbia St,Hemet,CA,92544,489000.0,1774.0,4,1973
5235 Red Crimson Dr,Willow Springs,NC,27592,335991.0,1418.0,3,0
17334 W Eva St,Waddell,AZ,85355,431190.0,1568.0,3,2025
8 Kentucky Ave,Wilmington,DE,19804,290000.0,875.0,2,1944
3935 Meridian St,Houston,TX,77017,0.0,690.0,1,1980
1826 EUCLID AVE,Berwyn,IL,60402-5868,270000.0,2639.0,5,1927
2615 Windage Dr SW,Marietta,GA,30008,220000.0,2412.0,4,1995
619 Wilton Ave,Secane,PA,19018,400000.0,2320.0,4,1954
1213 Solace Way,Rolesville,NC,27571,369990.0,1522.0,3,2025
106 S Main St,Elizabeth,IL,61028,265900.0,4001.0,5,1968
3311 N 41st Ct,Hollywood,FL,33021,0.0,1999.0,3,1971
2141 W Gill Pl,Denver,CO,80223,719000.0,2110.0,4,1951
4250 Real del Sur,Las Cruces,NM,88012,379000.0,1864.0,3,2018
809 Comice Pear Way,Willow Springs,NC,27592,480000.0,2804.0,5,2025
1718 WATKINS ST,Philadelphia,PA,19145,182200.0,1024.0,3,1925
607 Timber Bay Cir E,Oldsmar,FL,34677,211000.0,1144.0,4,1983
6014 Germantown Rd,Midland,VA,22728,607500.0,4024.0,4,1979
550 Crooked Stick Dr,Mechanicsburg,PA,17050,885000.0,4398.0,5,2020
5225 Red Crimson Dr,Willow Springs,NC,27592,348990.0,1418.0,3,2025
47 W 124th St,Chicago,IL,60628,174900.0,1477.0,3,1927
78 Knl Dr,Blackwood,NJ,08012,236175.0,1200.0,2,1980
608 Ardsley Ave,Somerdale,NJ,08083,300000.0,1056.0,3,1955
1121 Pinellas St,Clearwater,FL,33756,3156000.0,1500.0,0,1957
608 Byram St,Reading,PA,19606,0.0,768.0,3,1942
3113 White Blossom Ct,Raleigh,NC,27610,349990.0,1889.0,3,2025
204 S Main St,Jenera,OH,45841,129000.0,1951.0,3,1900
346 London Sq,Mount Washington,KY,40047,389000.0,1902.0,4,2016
41 Carter Mtn Rd,Cody,WY,82414,1795000.0,3340.0,5,2013
110 GREENFIELD LN,Warrington,,18976,239571.0,2317.0,4,2000
671 Aztec Dr,Martinsburg,WV,25405,370000.0,2374.0,3,2003
3868 Beaumont Ln,Plano,TX,75023,0.0,1414.0,3,1986
1726 S 17TH ST,Philadelphia,PA,19145,197700.0,1120.0,3,1920
17630 S BRONZE Mtn PS,Vail,AZ,85641,335000.0,1872.0,4,2009
5916 Molly Pitcher Hwy,Shippensburg,PA,17257,264900.0,1392.0,4,1963
1601 Scoville Ave,Berwyn,IL,60402,405000.0,5177.0,1,1960
124 Preserves Blvd,Mt Washington,KY,40047,456486.0,2073.0,3,2025
8 Bright Cir,Gwynn Oak,MD,21207,290000.0,1531.0,3,1954
705 Shelley Rd,Towson,MD,21286,433500.0,2227.0,3,1956
1121 DARTFORD Grn Pl,Wake Forest,NC,27587,695625.0,3262.0,5,2025
653 Holly Blf St,Wendell,NC,27591,337500.0,1696.0,3,2023
5422 Ragged Pt Rd,Cambridge,MD,21613,1300000.0,3914.0,5,2005
26 Sage Hl Ct,Danville,CA,94526,0.0,2080.0,4,1989
730 County Line Rd,York Springs,PA,17372,1350000.0,2416.0,4,1900
534 Us Hwy 319 South,Moultrie,GA,31768,489900.0,2846.0,4,1993
100 Cedar Leaf Trl,Bonaire,GA,31005,469900.0,4189.0,5,2019
1634 Wesley Ave,Berwyn,IL,60402,200000.0,4396.0,9,1927
507 E Live Oak St,Austin,TX,78704,0.0,1684.0,3,1930
6718 Laboure Dr,Harrisburg,PA,17111,60000.0,1440.0,3,1963
1404 Malcus Ct,Fuquay-Varina,NC,27526,698900.0,3074.0,5,2025
2825 Elk Horn Ln,Sandy,UT,84093,1075000.0,4752.0,3,1991
316 N 10th St,Las Vegas,NV,89101,275000.0,1274.0,3,1938
365 GRAND BAY DR,Palm Harbor,FL,34683,710000.0,2357.0,3,1993
17887 SW 72nd St Rd,Dunnellon,FL,34432,594900.0,2149.0,4,2024
8239 SW 108th St,Ocala,FL,34481,208500.0,1354.0,2,1991
420 Caywood Ave S,Lehigh Acres,FL,33974,319000.0,1586.0,3,2025
511 Mount Olive Blvd,Lost Creek,PA,17946,33000.0,1950.0,3,1894
95 Rea Ave Ext,Hawthorne,NJ,07506,1199000.0,0.0,5,2000
2101 S 16TH ST,Philadelphia,PA,19145,200000.0,2916.0,0,1920
216 N Hutcheson St,Houston,TX,77003,449000.0,1408.0,3,1935
28 Golf Vw Dr,Ocala,FL,34472,419900.0,2305.0,3,1999
237 E Zermat Dr,Crestline,CA,92325,625000.0,2290.0,4,2007
81 N Manning Blvd,Albany,NY,12809,399000.0,5500.0,12,1900
214 Lotus Ave,Voorhees,NJ,08043,343000.0,2174.0,4,1952
1726 S Mole St,Philadelphia,PA,19145,255000.0,784.0,3,1920
1755 S Mole St,Philadelphia,PA,19145,140000.0,1332.0,2,1920
72 Cribbs Ln,Middlesex,NC,27557,469990.0,2765.0,4,2025
2108 Maple Ave,Berwyn,IL,60402-1552,225000.0,1697.0,3,1948
511 Wrightstown Sykesville Rd Unit 113,Wrightstown,NJ,08562,120000.0,1176.0,2,1999
219 Crestwood Ln,Winchester,VA,22602,309600.0,1290.0,2,2000
557 Bronson Pl NE,Renton,WA,98056,0.0,500.0,1,1943
5208 Martin Ave,Austin,TX,78751,0.0,2500.0,6,2006
100 N Federal Hwy Unit 938,Fort Lauderdale,FL,33301,0.0,1518.0,1,2019
4929 Blackburn Ln,Manvel,TX,77583,0.0,2053.0,3,2021
84 CHEYENNE Dr,Clayton,NC,27520,363490.0,1749.0,3,2025
608 VEGA Blf Ln,Angier,NC,27501,452210.0,2714.0,5,0
101 BAY POINT DR NE,St Petersburg,FL,33704,1575000.0,2969.0,3,1957
3312 NE 11th St,Renton,WA,98056,0.0,2460.0,4,1958
3327 Edge Vw,San Antonio,TX,78259,553600.0,3719.0,4,2002
1296 Harrison St,Galesburg,IL,61401,114900.0,1080.0,3,1948
2029 S 17th St,Philadelphia,PA,19145,120000.0,1120.0,3,1920
6505 Randolph Rd,Morningside,MD,20746,340000.0,1296.0,3,1946
2806 E 22nd St,Austin,TX,78722,179000.0,832.0,0,1951
7650 Preserve Dr,West Palm Beach,FL,33412,475000.0,0.0,3,2001
1249 Pond Overlook Dr,Nashville,NC,27586,291990.0,1826.0,3,2025
970 Bombardier Aly,Spring Hope,NC,27882,314990.0,2260.0,4,2025
2905 13th St N,Saint Petersburg,FL,33704,585000.0,832.0,2,1947
2214 S Avenida Guillermo,Tucson,AZ,85710,194999.0,1761.0,3,1967
5363 NW 65th Ter,Coral Springs,FL,33067,420000.0,0.0,4,1989
CT-20 Silver Run Rd,Cashiers,NC,28717,2750000.0,0.0,4,2025
27621 SW Alder Ln,Wilsonville,OR,97070,720000.0,2197.0,3,2022
19609 James Mnr St,Manor,TX,78653,0.0,1400.0,3,2015
16 Sable Frst,San Antonio,TX,78259,142320.0,3392.0,5,2002
103 N Harvest Ridge Way,Clayton,NC,27520,457990.0,3074.0,5,0
28 Gettysburg Ct,Littlestown,PA,17340,299900.0,1556.0,3,1995
9612 E Watson Dr,Tucson,AZ,85730,65000.0,2381.0,0,1975
224 S 3rd St,Darby,PA,19023,235000.0,1616.0,4,1920
1604 EAST AVE,Berwyn,IL,60402,186000.0,2097.0,3,1957
2509 Ruthwell Rd,Wilmington,DE,19810,426000.0,1875.0,3,1971
SW 45th St,Ocala,FL,34481,58100.0,1420.0,3,1996
109 BRONCO PACE Dr,Clayton,NC,27520,518810.0,3112.0,4,2025
123 Bay Plz,Treasure Island,FL,33706,407000.0,1460.0,5,1989
10436 Albert Dr,Stockton,CA,95209,570000.0,2235.0,4,2012
112 Global Ave,Fuquay Varina,NC,27526,327000.0,2148.0,3,2025
6 CURRY,North Augusta,SC,29860,498900.0,2363.0,3,1998
313 High St,Moorestown,NJ,08057,555500.0,1923.0,4,1950
1829 HINESLEY Dr,Durham,NC,27703,353490.0,1678.0,3,2025
7121 Bay St,St Pete Beach,FL,33706,650000.0,1102.0,3,1951
531 8th St N,Saint Petersburg,FL,33701,385000.0,1690.0,10,1960
224 Thornberry Way,Palm Coast,FL,32164,442223.0,1950.0,4,2025
3019 Rockett Dr,Carrollton,TX,75007,104804.0,2105.0,3,1977
191 S 210 W,La Verkin,UT,84745,407000.0,1282.0,3,1994
25 Little Doe Run,Jefferson Twp,NJ,07438-8883,649900.0,2014.0,4,1997
808 Eastridge Cir,Red Oak,TX,75154,213306.0,1075.0,3,1985
6027 Lady Slipper Rd,Egg Harbor,WI,54209,4537000.0,1700.0,3,1920
1818 Moore St,Philadelphia,PA,19145,300000.0,1386.0,4,1920
322 Hays Ave,Pittsburgh,PA,15210,0.0,2497.0,1,1900
21 Marilyn Dr,Carlisle,PA,17013,44900.0,1008.0,2,1994
7169 W Lamar Rd,Glendale,AZ,85303,449000.0,1927.0,3,2006
1847 S Bancroft St,Philadelphia,PA,19145,18000.0,928.0,3,1920
697 W Meadowlark Ln,Corrales,NM,87048,750000.0,2926.0,3,1973
2259 S Queen St,York,PA,17402,229900.0,1360.0,2,1946
222 S 35th St,Camden,NJ,08105,218000.0,896.0,2,1950
142 N Keatts Winner Ct,Wilson'S Mills,NC,27520,366990.0,2260.0,4,0
18 Frst Rd,Sacramento,NM,88347,325000.0,1692.0,3,1943
612 Impala Trce,Wendell,NC,27591,219000.0,1900.0,4,1987
208 W Vw Rd,Middletown,RI,02842,649000.0,1600.0,4,1992
2227 Dermond Ave,Upper Darby,PA,19082,200000.0,1152.0,3,1949
116 E BAY DR,Treasure Island,FL,33706,447000.0,764.0,3,1940
2005 Waterford Rd Unit 79,Yardley,PA,19067,495000.0,1913.0,3,1995
2423 Garden Shadow Dr,Conroe,TX,77384,0.0,2926.0,4,2013
205 Glen Colter Ct,Severna Park,MD,21146,910000.0,3396.0,5,1988
1942 S 17TH ST,Philadelphia,PA,19145,75000.0,1560.0,4,1920
12222 Emerald Mist Ln,Conroe,TX,77304,0.0,3186.0,5,2017
2623 W Bay Isle Dr SE,Saint Petersburg,FL,33705,1100000.0,1646.0,3,1957
1244 Hazelnut Rdg Ln,Knightdale,NC,27545,529990.0,3037.0,5,2025
2614 Lakemist St,San Antonio,TX,78222,0.0,1335.0,3,1975
6369 W Hadley (lot 80),Fresno,CA,93723,440990.0,1732.0,4,0
1510 Mifflin St,Philadelphia,PA,19145,272700.0,1470.0,3,1920
3152 Lido Way,Denton,TX,76207,102000.0,1243.0,3,1996
2119 HARLEM AVE,Berwyn,IL,,0.0,5701.0,0,0
3567 Black Sheep Way,Green Bay,WI,54311,759900.0,3781.0,4,2019
2134 Farnsworth Dr,Ofallon,MO,63368,350000.0,3150.0,3,1999
6941 Boston Dr,Lake Worth Beach,FL,33462,3399.0,0.0,3,1956
18602 980 Rd,Cheyenne,OK,73628,749000.0,8975.0,6,2011
1005 Parkfield Ter,Manchester,MO,63021,375000.0,1740.0,4,1971
20454 Trout Ter,Ashburn,VA,20147,670028.0,2048.0,4,2000
1830 Westminster Pl,Nichols Hills,OK,73120,270000.0,1193.0,2,1951
102 Arbor Hl Ct,Conroe,TX,77384,0.0,2318.0,3,2009
10284 N 2128,Foss,OK,73647,212000.0,1568.0,3,2020
1732 S 18th St,Philadelphia,PA,19145,232000.0,1680.0,3,1915
194 Forage Cir,Pottstown,PA,19464,404640.0,1558.0,3,2024
2116 Wisconsin Ave,Berwyn,IL,60402,410000.0,1430.0,3,1925
202 Mdw Ave,Colonial Beach,VA,22443,370000.0,1607.0,3,1997
615 Dunleavy Dr,Highland,MI,48356,500000.0,1134.0,2,1954
2487 Horse Shoe Dr,College Stationtx,TX,77845,2500.0,2050.0,4,2010
12210 Big Pine Crk Dr,Cypress,TX,77433,572900.0,2619.0,4,2025
2114 WISCONSIN AVE,Berwyn,IL,60402-1605,243965.0,1442.0,3,1925
66 Harget Dr,Hanover,PA,17331,375000.0,2664.0,4,1988
2815 S Hutchinson St,Philadelphia,PA,19148,699900.0,3000.0,4,2024
19900 Williamsville Rd,Gregory,MI,48137,425000.0,3695.0,3,1990
1004 Winged Foot Dr,College Stationtx,TX,77845,699900.0,2907.0,4,1995
260 14th St N,Saint Petersburg,FL,33704,1200000.0,2968.0,3,1925
2400 Longmire Unit 105,College Stationtx,TX,77845,245000.0,1590.0,3,1981
727 Bay St,Dunedin,FL,34698,47000.0,904.0,2,1981
637 Timber Bay Cir E,Oldsmar,FL,34677,145000.0,1497.0,3,1984
603 Timber Bay Cir E,Oldsmar,FL,34677,141000.0,1275.0,3,1983
19430 Dickson Park Dr,Spring,TX,77373,299000.0,2006.0,3,2008
208 N Broad St,Middletown,DE,19709,439000.0,3200.0,4,1900
2606 Belliser Ct,College Stationtx,TX,77845,659000.0,3128.0,3,2016
351 E Jackson St,New Holland,PA,17557,290000.0,1925.0,3,1910
